conversation,customer_sentiment
"hi sarah, i need to change the address for the pickup of my computer monitor. the current address is incorrect, and i won't be able to receive the item there. no, that won't work for me. i need the item to be delivered to a specific address, and i won't be able to pick it up from any other location. no, that's not okay for me. i need the item urgently, and i cannot wait for it to be returned to your warehouse. yes, please do that. yes, please proceed with the address change. i am willing to pay the additional charge. no, that's all for now. thank you for your help, sarah. you too, sarah. goodbye!",negative
"hi john. i have a water geyser that i purchased from your website, but i can't remember the warranty details. can you help me with that? okay, thank you for the information. can you tell me what the warranty covers? alright, that's good to know. what should i do if i need to make a warranty claim? okay, i understand. thank you for your help, john. no, that's all for now. thank you. you too. goodbye!",neutral
"hi sarah, i recently placed an order for a speaker, and i would like to know about the pickup process. i have changed my mind, and i no longer need the speaker. okay, i understand. can you please initiate the pickup process for me? sure, my pickup address is 123 oak street, anytown, usa. no, that's all. but i'm a bit worried about the pickup timeline. i need to get the refund as soon as possible. no, that's all. thank you for your help, sarah. thank you, sarah. you too. goodbye!",neutral
"hello, i am trying to log in to my account, but it is asking me to verify my mobile number and email address. why is that? yes, my name is john smith, and my email address is johnsmith@email.com. okay, i understand that. how can i verify my mobile number and email address? alright, let me check. i received the otp, and i have entered it. and i have clicked on the verification link sent to my email address. thank you for your help. i was able to log in to my account successfully. no, that's all. thank you for your assistance.",neutral
"hi sarah, i recently purchased a microwave oven from your website, and i want to know how i can access the warranty details for it. yes, my order number is 456789. yes, it's john.doe@email.com. no, i haven't. can you guide me on how to create an account? okay, i'll do that. once i create an account, how can i access the warranty details for my microwave oven? okay, got it. thank you for your help, sarah. no, that's all for now. thank you again for your help. you too, sarah. goodbye!",neutral
"hi, i have a question about the warranty terms for a microwave oven i purchased from brownbox. i was wondering if there have been any changes to the warranty terms for the microwave oven i purchased from brownbox. that's great to know, jack. i was worried that the changes in warranty terms might affect my product. thank you, jack. that puts my mind at ease. is there anything else i should know about the warranty terms? okay, i understand. thank you for explaining that to me, jack. no, that's all. thank you for your help, jack. thank you, jack. you too. goodbye.",neutral
"hi, i was looking to purchase a pair of jeans from your website, but it says that the product is 'out of stock.' is there any way i can still order it? thank you, i appreciate it. yes, it's the 'slim fit jeans' in size 32, product number 12345. yes, please. can you tell me more about the product and its availability? yes, i think that would be a good alternative. can i place an order for it now? i already have an account. alright, i'm logged in. i added the product to my cart, but it says that it's 'temporarily unavailable.' what does that mean? okay, i understand. i'll place the order for the product, and i'm willing to wait for it to be restocked. no, that's all. thank you for your help. thank you, you too. goodbye!",neutral
"hi, i need to return a television i ordered. okay, i'll hold. the screen has a crack in it, and i can't use it. i received it five days ago. what? $50? that's ridiculous! i received a damaged product, and now i have to pay to return it? i don't remember agreeing to any return fee. can you waive it for me? fine, transfer me. yes, i received a damaged product, and now i have to pay a return fee of $50. that's not fair. i don't remember agreeing to any return fee. can you waive it for me? okay, i guess that's better than nothing. no, that's all. thank you for your help. thank you, you too. goodbye!",negative
"hi emily, i am really frustrated with my recent purchase. i bought a pack of diapers, and they arrived damaged due to poor packaging. i want to return them and get a refund. the package was torn, and the diapers were exposed to moisture. some of them were wet, and some were torn. i think it happened during shipping due to poor packaging. i would like to get a full refund, please. no, that's all. but i'm really disappointed with the poor packaging and the damage caused. this is not acceptable. okay, thank you for your help, emily.",negative
"hi, sarah. i recently received a wrong item. i ordered a shirt, but i received a different design. i would like to return it and get the correct one. hi, mike. i received a wrong item. i ordered a shirt, but i received a different design. i would like to return it and get the correct one. sure, it's janedoe@email.com. okay, i received the email. do i need to pay for the return shipping? okay, that's great. do i need to wait for the correct shirt to arrive before returning the wrong one? okay, that makes sense. thank you for your help, mike. no, that's all for now. you too. goodbye!",neutral
"hi lisa, i recently received a faulty air conditioner that i ordered from brownbox. i would like to return it and get a replacement. can you help me with that? sure, it's #123456789. the air conditioner is not cooling properly, and the remote control is not working. no, that's not okay. i need the replacement urgently as the weather is too hot, and i can't stay without an air conditioner. okay, that sounds better. thank you for your help. no, that's all. thank you for your assistance.",negative
"hi, my name is john, and i have a problem with my order. i ordered an air conditioner a week ago, and it hasn't been delivered yet. this is unacceptable. i need the air conditioner urgently, and i can't wait any longer. i don't want a refund. i need the air conditioner. yes, please do that. no, that's all. goodbye.",negative
"hi john, i recently purchased a wristwatch from your website, and i noticed that there was an instant cashback offer on it. can you help me understand how it works? yes, my order number is #234567890, and my email address is xyz@gmail.com. okay, that's great. can you also confirm if the offer is applicable on all wristwatches or just the one i purchased? yes, it's model number xyz123. no, that's all. thank you for your help.",neutral
"hi rachel. i am calling regarding an order i placed for a kitchen chimney. i was supposed to receive it yesterday, but it did not arrive. sure, it's 123456. what? that's not true. i was at home all day yesterday, and i did not receive any call or message from the delivery person. that's strange. i did not receive any call from an unknown number yesterday. can you please check with them again? no, that's not okay. i need the kitchen chimney urgently, and i cannot wait another day. can you please do something about it? yes, i am willing to pay the extra amount. please arrange for the express delivery. yes, that's fine. no, that's all. but i am not happy with the delay and the inconvenience caused. okay, thank you.",negative
"hi, i am having trouble logging into my brownbox account on the mobile app using my mobile number. yes, my mobile number is +1 123-456-7890. yes, i am sure. i even received an otp on this number while creating the account. okay, i will try that. thank you for your help. no, that's all for now. thank you, you too. goodbye.",neutral
"hi, i need some assistance with the pickup process for a hand blender that i want to return. i received the hand blender yesterday, but it's not working correctly. i want to return it and get a refund. sure, no problem. yes, my address is 123 main street, anytown, usa. no, that's all. thank you for your help, sarah. thank you, sarah. goodbye!",neutral
"hi, i'm having trouble tracking my order for a laptop that i purchased from brownbox. i've been trying to track it for the last two days, but the tracking information is not updating. my order number is 87654321, and my name is john smith. delayed? when will i receive it? this is unacceptable. i need the laptop for work, and i can't afford any delays. can you at least tell me where my order is right now? okay, i guess i'll have to wait. but i'm not happy about this. no, that's all.",negative
"hi, tom. i have a question about the loyalty program. i recently purchased an inverter from your website and i want to know how many loyalty points i have earned. sure, my email address is john.doe@email.com. okay, thank you for letting me know. can you explain how these loyalty points work? that sounds great. how do i redeem my loyalty points? okay, got it. thank you for explaining that. can i use my loyalty points for any product on your website? okay, thank you for clarifying that. is there anything else i need to know about the loyalty program? no, that's all. thank you for your help, tom. thank you. you too. goodbye!",neutral
"hi jane. i need to change the password for my account. can you help me with that? my name is john and my email address is john.doe@gmail.com. sure, the last four digits are 1234. yes, it's ""brownbox@123"". actually, i have one more question. i recently moved to a new address and i need to update my shipping address. can you help me with that as well? okay, i'm logged in. i see the ""account settings"" tab. but i'm not able to find the option to update my shipping address. oh, i see it now. thank you so much for your help, jane. no, that's all. thank you again.",neutral
"hello, i want to know about the pickup process for a television i ordered from brownbox. sure, it's 987654321. it's a samsung 55-inch 4k tv. yes, please. i'm available on friday between 10 am to 2 pm. yes, that works for me. sure, my address is 123 main street. no, that's all. thank you for your help. you too, alex. goodbye.",neutral
"hi, i'm calling about my order for baby food. it reached the nearest hub, but it's not out for delivery yet. can you tell me what's going on? hi, my name is jane doe, and my order number is 123456. but it's been three days since it reached the hub. why is it taking so long? well, i need the baby food for my baby, and i'm running out of it. can you do anything to expedite the delivery? i don't want a refund. i need the baby food for my baby. can you at least tell me when i can expect the delivery? okay, i guess that's better than nothing. can you please make a note of it on my account? no, that's all. thank you for your help, emily. you too, emily. goodbye!",negative
"hi jack. i recently purchased a juicer/mixer/grinder from your website, and i want to sign up for an extended warranty. can you guide me through the process? okay, i understand. how do i sign up for the extended warranty? alright, i'll do that. how much does the extended warranty cost? okay, that sounds reasonable. can you tell me what the extended warranty covers? i see. that's good to know. how do i make a claim under the extended warranty? alright, i'll keep that in mind. thanks for your help, jack. no, that's all for now. goodbye.",neutral
"hi sarah, i'm really upset. i ordered a t-shirt from your website, and i haven't received the invoice yet. it has been over a week, and i need it urgently for my reimbursement process. can you help me with this? sure, it's 987654. what? how is that possible? i need the invoice urgently for my reimbursement process. sure, it's john.doe@email.com. let me check. yes, i found it in my spam folder. i'm sorry for the confusion. no, that's all for now. thank you for your help. thank you. goodbye.",negative
"hi sarah, my name is lisa. i recently received a computer monitor from your website, and it's not working correctly. i want to return it and get a replacement. the monitor is not displaying the correct colors, and the image is blurry. yes, i received a free keyboard and mouse with the monitor. sure, i understand. how do i proceed with the return process? okay, that sounds good. how long will the process take? alright, i understand. thank you for your help, sarah. no, that's all for now. thanks again. you too, sarah. goodbye!",neutral
"hi sarah, my name is lisa. i want to cancel my order for a sandwich maker that i purchased from your website. i found a better deal on another website. it's been two days since i placed the order. can i get a full refund? that's not fair. i want a full refund. i don't want to keep the product or store credit. no, i want to speak to your supervisor. this is unacceptable. hi tom, i want a full refund for my sandwich maker. your agent is not helping me. i found a better deal on another website. i want a refund to my original payment method. no, that's all. thank you for your help. thank you. you too. goodbye!",negative
"hi rachel, i have a question about my recent order. i received an email asking me to ship the item for an induction cooktop. can you explain why i'm being asked to ship it? oh, i see. that makes sense. how do i go about shipping it? that sounds easy enough. how long will it take for me to receive my order after i ship it? alright, thank you for explaining that to me. no, that's all i needed help with. thank you for your assistance, rachel. thank you, rachel. you too. goodbye!",neutral
"hi rachel, i bought a sandwich maker from your website a few months ago, and it's not working correctly. i want to know if it's still under warranty and how can i retrieve the warranty details? sure, it's #987654321. okay, let me try that.  i'm not able to find the warranty details. can you please guide me through the process? okay, i found it. thank you so much, rachel. no, that's all. thank you again for your help.",neutral
"hi, sarah. i recently purchased a food processor from your website, and i was wondering how i can determine the start date of the warranty. okay, that makes sense. thank you for letting me know. no, that's all. thank you for your help. thank you. you too. goodbye!",neutral
"hi jack, i recently purchased a food processor from your website, but i noticed that i was charged for delivery. i thought my order qualified for free delivery. can you help me understand why i wasn't eligible for free delivery? oh, i see. i wasn't aware of that. is there any way to waive off the delivery charges? okay, thanks for the suggestions. i will keep that in mind for my next purchase. can you confirm the delivery date for my current order? no, that's all for now. thank you for your help. thanks, you too. goodbye.",neutral
"hi, i'm calling because i have an issue with the delivery of my computer monitor. i received a notification that the package was delivered, but i never received it. i checked with my neighbors, but no one has seen it. i'm really upset because i need it for work. okay, thank you. okay, what does that mean? i need the monitor for work, so i would like a replacement package as soon as possible. yes, that works for me. please schedule the delivery for tomorrow. no, that's all. thank you for your help. thank you, you too. goodbye.",negative
"hi, i am calling to check the status of my order for a pram/stroller that i placed last week. no, that's all i needed to know. thank you for your help. thank you, you too. goodbye.",neutral
"hi alex. i recently received an email from brownbox requesting me to ship back the computer monitor i purchased last week. can you please tell me why i am being asked to ship it back? yes, it's 789101. oh, i see. that makes sense. can you guide me through the process of returning the monitor? okay, that sounds straightforward. thank you for explaining the process to me. no, that's all for now. thank you for your help. you too. goodbye.",neutral
"hi john, i'm having trouble receiving the otp or verification code for a computer monitor i recently purchased from your website. my name is jane and my order number is 123456. sure. my mobile number is 123-456-7890, and my email address is jane@gmail.com. i have checked all folders, but i haven't received any otp or verification code yet. yes, i have a strong network connection. the last four digits are 7890. yes, i have received the otp. thank you so much, john, for your help. no, that's all. thank you again for your assistance. you too. goodbye.",negative
"hi rachel, my name is lisa. i recently purchased a television from your website, but i have misplaced the warranty card. is it possible to obtain the warranty without the card? yes, sure. the order number is 123456 and the product name is samsung 55-inch smart tv. that's great to hear. thank you, rachel. yes, my name is lisa smith, and my email address is lisa@email.com. my phone number is 123-456-7890. okay, thank you, rachel. can you please transfer me to the customer support center? hi, i am lisa smith. i recently purchased a samsung 55-inch smart tv from your website, and i lost my warranty card. can you guide me through the process of claiming the warranty? yes, my order number is 123456. yes, my name is lisa smith, and my email address is lisa@email.com. my phone number is 123-456-7890. okay, thank you for your help. you too. goodbye.",neutral
"hi john. i was browsing your website and noticed that the same laptop model has different prices. why is that? i see. but the two laptops i am comparing have the same specs and are sold by brownbox. why is there still a price difference? yes, please. that would be great. yes, please. that would be great. thank you for your help. no, that's all. thank you for your help, john.",neutral
"hi rachel, i'm calling about my order for a laptop. it was supposed to be delivered today, but it hasn't arrived yet. what do you mean by unforeseen circumstances? i need the laptop urgently. can you give me an estimated delivery date? that's not good enough. i need the laptop tomorrow for an important presentation. yes, i need the laptop urgently. please expedite the delivery. thank you for your help, rachel. no, that's all for now. thanks, you too. goodbye.",negative
"hi rachel, i recently purchased a speaker from your website, and i was wondering if it comes with a wall mount for televisions? yes, please. can you tell me how much it costs? yes, please go ahead. no, that's all. thank you for your help, rachel. no, that's all. thank you for your help, rachel. you too, rachel. goodbye.",neutral
"hi sarah, i recently bought a sandwich maker from your website, but it's not working properly. i would like to return it and get a refund. i don't remember the seller's name. can you check that for me? okay, can you provide me with their contact information? the sandwich maker is not heating up properly, and the bread is not getting toasted. yes, i tried that, but it's still not working. alright, thank you for your help, sarah. thank you, sarah. goodbye.",neutral
"hi, i have a question about claiming warranty for a replacement coffee maker i received from brownbox. i received a replacement coffee maker, but it's not working correctly. i wanted to know how i can claim the warranty for it. the coffee maker is not brewing coffee properly. the coffee tastes weak and watery. yes, i followed the instructions in the manual, but it's still not working correctly. okay, thank you. can you tell me what's the next step? okay, i will do that. when can i expect a replacement coffee maker? alright, thank you for your help, sarah. no, that's all i needed to know. thank you. thank you, you too. goodbye!",neutral
"hi sarah, i recently ordered a wristwatch from your website, and i was wondering about the delivery process. can you please guide me? yes, it's #123456789. that's great to hear. can you please tell me which delivery method you are using? okay, thanks for letting me know. can you also confirm the delivery process for me? sounds good. is there anything else i should be aware of? thank you so much for your help, sarah. you have been very helpful.",neutral
"hi alex, my name is sarah. i have an issue with my order. my power bank has reached the nearest hub, but it's not out for delivery yet. can you please help me with this? how long will the delay be, alex? i need the power bank urgently. tomorrow? that's not acceptable, alex. i need it today. okay, that sounds fair. how much will the refund be? yes, that's fine. thank you for your help, alex. no, that's all for now. thank you for your assistance. thank you, alex. you too. goodbye.",negative
"hi mary. i am looking to buy a pram/stroller from your website, but i need it to be delivered faster. do you have any expedited delivery options available? sure, it's the abc model. yes, please go ahead. i was hoping to get it sooner. is there anything else you can do to expedite the delivery? that's a good idea. can you check if there are any stores nearby? i'm in new york city. yes, please. that would be great. no, that's all. thank you for your help.",neutral
"hi alex, i'm jane. i have an issue with my recent order. i'm very unhappy because i missed the delivery of my package. i was at home all day, and i didn't receive any notification or call from the courier. i was wondering if you could help me with this. that's not true, alex. i was at home all day, and my phone was working fine. i didn't receive any call or notification from the courier. this is ridiculous. this is unacceptable, alex. i paid for the product, and i expected to receive it on time. what are you going to do to fix this? i guess that's better than nothing, alex. but i'm still very disappointed with the service. no, that's all. i just hope i receive my package soon. alright, thank you, alex.",negative
"hi emily, my name is sarah. i have been waiting for my smartwatch to be delivered for over a week now, and i'm getting frustrated. can you please help me? i appreciate your help, emily, but i need my smartwatch urgently. can you please tell me when i can expect to receive it? thank you so much, emily. i really appreciate your help. no, that's all for now. thank you for your help. thank you, emily. you too. goodbye.",negative
"hi, i have a query regarding the loyalty program. my name is john smith. i have been collecting reward points for a while now, and i wanted to redeem them for a smart band. but when i tried to redeem them, the system showed an error message. sure, my account number is 123456789. it showed that the reward points i have collected are not enough to redeem the smart band, but i have more than enough points. okay, so what can we do now? i want to redeem the latest model smart band. thank you for your help. but i also want to know why this happened? i have been a loyal customer for years, and i don't expect such errors. okay, i appreciate that. thank you for your help. no, that's all. thank you for your help.",negative
"hello, i need assistance with my recent return and exchange request for a kitchen chimney. yes, it's 123456789. yes, i received the product, but it was damaged, so i requested a return and exchange. however, it's been two weeks, and i haven't received any updates on the refund. alright. okay, but i've been waiting for two weeks now. can you tell me when i'll receive my refund? sure, my email address is john.doe@email.com, and my phone number is 123-456-7890. no, that's all. thank you for your help. you too, goodbye.",negative
"hi, i have a query regarding the delivery charges for an external hard disk i want to purchase from brownbox. yes, my name is john smith, and i haven't placed an order yet. i was checking out the external hard disk product page, and i noticed that the delivery charges are quite high. can you explain why that is? i see. can i choose a faster shipping speed, and how much would that cost? yes, please. sure, it's 12345. okay, got it. thanks for the information, sarah. i think i'll stick with the standard shipping speed for now. no, that's all. thank you for your help. you too, sarah. goodbye!",neutral
"hi, rachel. i was trying to place an order for an induction cooktop, and i noticed that i am not eligible for free delivery. can you please tell me why? i am trying to order an induction cooktop, and i live in los angeles. oh, i see. is there any way i can still get free delivery for this product? yes, please. my zip code is 90001. that sounds good. how can i join the loyalty program? okay, i will do that. thank you for your help, rachel. no, that's all for now. you too. goodbye!",neutral
"hi john, i received a dishwasher from your website yesterday, and the package was open and tampered with on delivery. i'm highly disappointed with the service. sure, it's 987654321. okay. i haven't checked it yet, but i don't want to keep a damaged product. i want to return it. i want a replacement. my name is sarah smith, my email address is sarahsmith@gmail.com, and my phone number is 123-456-7890. okay, thank you. no, that's all. goodbye.",negative
"hi, i have a problem with a pair of sunglasses i purchased from brownbox. i tried to get them repaired at the service center, but they denied the request. can you help me with this? sure, my order number is 98765432, and my name is john smith. yes, the frame of the sunglasses broke, and i took them to the service center for repair. but they denied my request, saying that it's not covered under the warranty. they said that the damage was caused by misuse and not a manufacturing defect. thank you so much, alex. i appreciate your help. that's okay. i'm just glad that i can get my sunglasses repaired. thank you again, alex. no, that's all. thank you for your assistance.",negative
"hi sarah, i have a problem with my recent purchase. i recently received a bp monitor, but i noticed that there is a mismatch in the warranty terms between the website and the physical warranty card that came with the product. also, the warranty card seems to be missing. no, i haven't. i'm not sure what to do. yes, it says that the warranty is for one year. yes, i see some troubleshooting steps here. i followed the troubleshooting steps, but the issue still persists. sure, thank you. hi, i recently received a bp monitor, but i noticed that there is a mismatch in the warranty terms between the website and the physical warranty card that came with the product. also, the warranty card seems to be missing. yes, it is maria@email.com. no, that's all. thank you for your help. yes, they were. thank you for your help. no, that's all. thank you for your help. you too, goodbye.",neutral
"hi john, i recently bought a sandwich maker from brownbox, but i seem to have misplaced the warranty card. i was wondering if i could still obtain warranty without the warranty card. sure, my name is jane, and the order number is 123456. okay, what information do you need? yes, let me check.  the serial number is 987654321. that's great news. thank you so much for your help, john. no, that's all. thank you again for your assistance.",neutral
"yeah, hi. i'm calling because i didn't receive my television that i ordered from your website. no, i was at home all day yesterday, and i didn't receive any package.  yeah, sure. that's not true. i was at home all day yesterday, and nobody came to deliver anything. okay, but please hurry. finally, some good news. when can i expect the replacement television to arrive? no, that's all. thank you for your help. yeah, sure. bye.",negative
"hi, i need help with returning a toy i purchased from brownbox. sure, my name is sarah, and my order number is 987654321. the toy arrived damaged, and i want to return it for a refund. i received it three days ago. that's great. how do i initiate the return process? okay, i'll initiate the return process online. when can i expect the refund? okay, thank you for your help. no, that's all for now. goodbye.",neutral
"hi alex, i recently purchased an electric cooker from your website, and i want to return it. can you please guide me through the return process? the electric cooker has some defects, and it's not working correctly. my order number is 1234567. the cooker is not heating up properly, and the temperature control is not working. okay, let me try that. i tried resetting the cooker, but it's still not working correctly. yes, my shipping address is 456 oak street, anytown, usa 67890. yes, can you tell me when i will receive the refund? okay, thank you for your help. you too. goodbye.",neutral
"hi sarah, i recently purchased a vacuum cleaner from brownbox and i seem to have misplaced the warranty card that came with it. can i still get warranty without a warranty card? what information do you need? sure, my name is john smith, my address is 123 main street, anytown, usa, my phone number is 555-1234, and i placed the order on june 1st, 2021. the email address associated with my brownbox account is johnsmith@email.com. thank you so much, sarah. you've been very helpful. no, that's all. thank you again. you too, sarah. goodbye.",neutral
"hi alex, i recently received a tablet from your website, but it's not working correctly. i would like to know how to return it and get a replacement. the order number is 123456789, and the tablet won't turn on even after charging it for hours. sure, my email address is john@example.com, and my phone number is 123-456-7890. no, that's all for now. thank you for your help, alex. thank you, alex. goodbye!",neutral
"hi sarah, i recently received a food processor from brownbox, but it's not working correctly. i would like to return or exchange it. i'm not sure. what's the difference between the two? i see. i would like to exchange the item, please. it's not chopping vegetables properly. no, i haven't. okay, let me check. the blades look fine to me. alright, let me try. it's still not working. sure, my shipping address is 123 main street, anytown, usa. no, that's all. thank you for your help, sarah. thank you, sarah. you too. goodbye!",neutral
"hi, i recently purchased a sandwich maker from brownbox, and i'm having trouble installing it. can you help me with that? well, i received the product yesterday, and i tried to install it myself, but i'm not sure if i'm doing it right. i followed the instructions, but i'm still having trouble. sure, no problem. that would be great, thank you. yes, i have all the parts. okay, let me check that. yes, i can hear the click sound. the plates are locked in place. okay, i plugged in the power cord, and the power light is on. it's heating up. okay, i'll wait for a few minutes. thank you for guiding me through the process, alex. no, that's all. thank you for your help. thank you, alex. you too. bye.",neutral
"hi sarah, i recently received a juicer/mixer/grinder that i had ordered from your website and paid for it with cash on delivery. unfortunately, i am not satisfied with the product and would like to return it. can you help me with the refund process? the product is not functioning as it should be, and i am not satisfied with the quality. okay, that sounds good. can you tell me how long it will take to get the refund? that's fine. can you initiate the refund process for me? okay, that's great. thank you for your help, sarah. no, that's all for now. thanks again. you too, bye.",neutral
"hi john, i purchased an electric kettle from brownbox a week ago, and now i see that the price of the same kettle has dropped. i want to know if i can get a discount on my purchase. but i don't want to buy the same product from another website. i want a discount on my purchase from brownbox. yes, please transfer my call. hi mark, i purchased an electric kettle from brownbox a week ago, and now i see that the price of the same kettle has dropped. i want to know if i can get a discount on my purchase. but i don't want to buy the same product from another website. can't you offer me a discount on my purchase from brownbox? that sounds fair. can you please apply the store credit to my account? no, that's all for now. thank you for your help, mark. you too, mark. goodbye!",negative
"hi, i'm calling to inquire about my order for an electric kettle. it has reached the nearest hub, but it's not out for delivery yet. sure, my order number is 9876543. okay. end of the day? but i was expecting it to be delivered today morning. okay. can you please tell me why there was a delay? alright. i hope it gets delivered today. no, that's all. thank you for your help. you too. goodbye.",negative
"hi john, i recently received a shirt i ordered from brownbox, but it arrived damaged due to poor packaging. i'm really frustrated and disappointed. can you help me with a return or refund? thank you for understanding. what are my options for a return or refund? i would like to request a replacement. that's great. how do i proceed with the replacement request? hi mary, i was transferred to you to request a replacement for a damaged shirt i received. no, that's all for now. thank you for your help, mary. thank you, mary. you too. goodbye.",negative
"hi sarah, i recently received a water geyser from your website, but unfortunately, it's not working. i want to return it and get a replacement. can you help me with that? sure, no problem. yes, please. also, i need the replacement as soon as possible. do you have any faster delivery options like same day or in-a-day for return requests? okay, i guess that will do. could you please guide me through the return process? no, that's alright. i'll follow the instructions and initiate the return process. thank you for your help, sarah. no, that's all for now. thanks again. you too, bye.",neutral
"hi, i placed an order for a headphone a few days ago, and i was wondering about the delivery process. i chose the standard delivery method. i live in new york. okay, that's good to know. is there a way to track the package? alright, i will check that. thank you for your help, rachel. no, that's all. thank you again.",neutral
"hi alex, i was looking to purchase a hand blender from your website, but it shows that the product is out of stock. can you please tell me when it will be available again? it's the xyz hand blender, model number 12345. yes, please. that would be great. yes, it's johndoe@email.com. alright, thank you for your help, alex. no, that's all for now. thank you again. you too, alex. goodbye.",neutral
"hi, i would like to return a sweatshirt that i ordered from your website. it doesn't fit me well, and i want to exchange it for a different size. sure, my order number is 12345, and the sku number of the sweatshirt is 67890. what do you mean it's not eligible? i just want to exchange it for a different size. that's ridiculous! how am i supposed to know if the sweatshirt fits me well or not without trying it on? i did refer to the size chart, but the sweatshirt still doesn't fit me well. can't you make an exception in my case? i suppose that would be better than nothing. no, that's all. thank you for your help.",negative
"hi alex, i recently purchased a vacuum cleaner from your website, and it stopped working after two months. i contacted your service center for a replacement, but they denied my request. i am very disappointed with the service. but the vacuum cleaner stopped working after two months, and i was busy with work and couldn't contact you earlier. yes, i have tried everything, but it's still not working. this is ridiculous. i am never going to shop from brownbox again. no, that's all.",negative
"hi alex. i recently purchased a smart band from your website, and i noticed that there is a mismatch in warranty terms between the website and the physical warranty card. can you help me with this? that's good to hear. but what about the physical warranty card that came with the product? okay, that makes sense. but what if i lose the physical warranty card? will i still be able to claim the warranty? that's great to know. thank you for clarifying this for me, alex. no, that's all for now. thanks again for your help. you too. goodbye!",neutral
"hi, i want to return a baby food jar that i received yesterday. it's not the one i ordered, and i need to exchange it. okay, i'll hold. okay, please do that. i want to exchange it. can you tell me the process? that's great. when will the pickup be arranged? okay, but i need the correct item as soon as possible. can you expedite the shipping? okay, but please hurry. that's better. thank you for doing that. no, that's all. i just hope i receive the correct item on time. thanks, bye.",negative
"hi sarah, i am trying to log in to my account, but it says my mobile number and email address need to be verified. why is that? sure, my email address is johndoe@email.com, and my mobile number is 1234567890. oh, i see. how can i verify my mobile number and email address? okay, i will do that. thank you for your help, sarah. no, that's all. thank you again.",neutral
"hi, i need help reactivating my account. i tried logging in, but it says my account has been deactivated. sure, my email address is jane.doe@email.com. okay, i'll wait. my name is jane doe, and my date of birth is january 1st, 1990. yes, my new password is 12345. okay, let me try. yes, it's working now. thank you for your help, alex. no, that's all. thank you again. thank you, you too. goodbye!",negative
"hi, i'm calling because i'm unable to track my order for an external hard disk. my name is jane, and my email is jane.doe@email.com. but i need to track the order as i won't be available at home during the delivery time. okay, please provide me with the contact details. alright, i'll contact them. but i'm not happy with the delay in the tracking update. yes, please do that. no, that's all. thank you for your help, alex.",negative
"hi alex. i'm looking to buy a vacuum cleaner from your website, but i'm not happy with the price. i noticed that you have exchange offers for old appliances. can you tell me more about that? my name is sarah, and my email address is sarah@email.com. that sounds great. can you tell me how much discount i can get for my old vacuum cleaner? okay, transfer the call, please. hi mark. i'm looking to buy a vacuum cleaner from your website, and i'm interested in the exchange offer. can you tell me how much discount i can get for my old vacuum cleaner? it's a philips vacuum cleaner, and it's in good condition. that's great. can you guide me on how to avail of the exchange offer? okay, i'll do that. thank you for your help, mark. no, that's all for now. thank you again. you too. goodbye!",negative
"hi sarah, i recently received a coffee maker from brownbox, and i would like to return it. can you guide me through the process? sure, my order number is 123456. a return fee? why is that? the coffee maker is not functioning properly. it keeps shutting down after a few minutes of use. yes, i have. i followed the instructions in the manual, but the issue persists. $15? that's outrageous! i shouldn't have to pay for a faulty product. i still don't think it's fair. is there anything you can do to waive the fee? yes, please. i would appreciate that. no, that's all. thank you for your help, sarah. you too. goodbye!",negative
"hi sarah, i recently purchased a juicer/mixer/grinder from your website, and i'm not sure who is responsible for the installation. is it the brand or the e-commerce company? it's a xyz brand. that's great. can you guide me through the installation process? yes, i have received both. thank you so much, sarah, for your help. no, that's all for now. you too, sarah. goodbye!",neutral
"hi, i purchased a microwave oven from your website a few months ago, and i can't find the warranty card. i need to claim the warranty, but i don't know how to do it without the card. sure, it's 987654321. okay, but please hurry, i'm in a hurry. yes, that's correct. oh, that's great news. can you guide me through the process? the oven is not heating up even though it's turned on. no, i haven't. okay, i did that. okay, i did that, but it's still not heating up. okay, thank you. okay, i will do that. no, that's all. thank you for your help. you too. goodbye.",negative
"hi rachel. i am calling to inquire about the delivery of my refrigerator. it was supposed to be delivered last week, but it hasn't arrived yet. yes, it's 123456. this is unacceptable. i was promised that my refrigerator would be delivered last week, and now i have to wait even longer. i need it urgently. thank you, rachel. i appreciate your efforts. can you confirm the delivery date and time? no, that's all for now. thank you for your help. you too. goodbye.",negative
"hi, i received a microwave oven from your company, but the packaging was damaged, and the oven is not working. i want to return it and get a refund. okay, i'll hold. the packaging was torn, and the microwave was dented. when i tried to use it, it didn't work at all. yes, that's fine. when will i receive the return shipping label? no, that's all. i just hope the refund process is smooth. thanks, bye.",negative
"hi sarah, i recently received an inverter that i ordered from your website, but it's not working correctly. i would like to return it and get a replacement. the inverter is not working correctly, and i would like to get a replacement. my pin code is 600001. that's disappointing. can you please tell me if there are any faster delivery options available for the replacement? yes, please check for me. yes, i would like to opt for the in-a-day delivery option. okay, i understand. can you please confirm the timeline for the replacement inverter? okay, thank you for your help, sarah. no, that's all for now. thank you again. you too, sarah. goodbye!",neutral
"hi, i'm having trouble canceling my order for a power bank. sure. whenever i try to click the 'cancel' button, nothing happens. i've tried refreshing the page and logging out and back in, but it's still not working. sure, no problem. yes, that would be fine. my shipping address is 123 main st, anytown, usa, and the reason for the replacement or return is that i ordered the wrong product. no, that's all. thank you for your help. thank you, you too. goodbye!",neutral
